User_Input,Intent,Response
Can you tell me about the temperature requirements of Bitter Melon or Bitter Gourd?,temperature_requirements_info,The temperature requirements is: 20-30.
Can you tell me about the soil type of Bitter Melon or Bitter Gourd?,soil_type_info,The soil type is: Loamy/Sandy Loam.
Can you tell me about the sunlight needs of Bitter Melon or Bitter Gourd?,sunlight_needs_info,The sunlight needs is: Full Sun.
Can you tell me about the soil pH of Bitter Melon or Bitter Gourd?,soil_pH_info,The soil ph is: 5.5-6.5.
Can you tell me about the harvest season of Bitter Melon or Bitter Gourd?,harvest_season_info,The harvest season is: June-September.
Can you tell me about the growing duration of Bitter Melon or Bitter Gourd?,growing_duration_info,The growing duration is: 70-90.
Can you tell me about the common diseases of Bitter Melon or Bitter Gourd?,common_diseases_info,"The common diseases is: Powdery Mildew, Anthracnose, Bacterial Wilt."
Can you tell me about the nutritional information of Bitter Melon or Bitter Gourd?,nutritional_information_info,The nutritional information is: 20 calories per 100g.
Can you tell me about the temperature requirements of Tomato?,temperature_requirements_info,The temperature requirements is: 20-25.
Can you tell me about the soil type of Tomato?,soil_type_info,The soil type is: Loamy soil.
Can you tell me about the sunlight needs of Tomato?,sunlight_needs_info,The sunlight needs is: Full Sun.
Can you tell me about the soil pH of Tomato?,soil_pH_info,The soil ph is: 6.0-7.0.
Can you tell me about the harvest season of Tomato?,harvest_season_info,The harvest season is: October-December/March-May.
Can you tell me about the growing duration of Tomato?,growing_duration_info,The growing duration is: 55-85.
Can you tell me about the common diseases of Tomato?,common_diseases_info,"The common diseases is: Late Blight, Fusarium Wilt, Bacterial Canker."
Can you tell me about the nutritional information of Tomato?,nutritional_information_info,The nutritional information is: 18 calories per 100g.
Can you tell me about the temperature requirements of Squash?,temperature_requirements_info,The temperature requirements is: 20-30.
Can you tell me about the soil type of Squash?,soil_type_info,The soil type is: Loamy/Sandy Loam.
Can you tell me about the sunlight needs of Squash?,sunlight_needs_info,The sunlight needs is: Full Sun.
Can you tell me about the soil pH of Squash?,soil_pH_info,The soil ph is: 6.0-7.5.
Can you tell me about the harvest season of Squash?,harvest_season_info,The harvest season is: August-October.
Can you tell me about the growing duration of Squash?,growing_duration_info,The growing duration is: 75-100.
Can you tell me about the common diseases of Squash?,common_diseases_info,"The common diseases is: Powdery Mildew, Anthracnose, Gummy Stem Blight."
